Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2025-04-30 11:03:09,"Morning Workout",3m,"Overhand Straight Arm Hang",1,0,0.0,0,128.0,
2025-04-30 11:08:52,"Morning Workout",1m,"Concept 2 Rower 500m for time at level 10",1,0,0.0,0.5,101.0,
2025-05-07 07:42:07,"Senior Games 2025",46m,"Bench Press (Barbell)",1,115.0,23.0,0,0.0,
2025-05-07 07:42:07,"Senior Games 2025",46m,"Goblet Squat (Kettlebell)",1,53.0,35.0,0,0.0,
2025-05-07 07:42:07,"Senior Games 2025",46m,"D-Ball Slam",1,0,24.0,0,0.0,
2025-05-14 07:50:58,"Senior Games 2025",3m,"Bench Press (Barbell)",1,115.0,15.0,0,0.0,
2025-05-14 07:50:58,"Senior Games 2025",3m,"Goblet Squat (Kettlebell)",1,53.0,35.0,0,0.0,
2025-05-14 07:50:58,"Senior Games 2025",3m,"D-Ball Slam",1,0,24.0,0,0.0,
2025-05-22 12:16:46,"Senior Games 2025",307h 23m,"Jump Rope",1,0,84.0,0,0.0,
2025-05-22 12:16:46,"Senior Games 2025",307h 23m,"Standing Broad Jump",1,0.0,68.0,0,0.0,
2025-05-22 12:16:46,"Senior Games 2025",307h 23m,"Standing Broad Jump",2,0.0,73.0,0,0.0,
2025-05-22 12:16:46,"Senior Games 2025",307h 23m,"Standing Broad Jump",3,0.0,78.0,0,0.0,
2025-06-04 07:39:57,"Senior Games 2025",49m,"Bench Press (Barbell)",1,115.0,25.0,0,0.0,
2025-06-04 07:39:57,"Senior Games 2025",49m,"Bench Press (Barbell)",2,65.0,49.0,0,0.0,
2025-06-04 07:39:57,"Senior Games 2025",49m,"Goblet Squat (Kettlebell)",1,53.0,40.0,0,0.0,
2025-07-16 08:27:17,"Senior Games 2025",33m,"Jump Rope",1,0,80.0,0,0.0,
2025-07-16 08:27:17,"Senior Games 2025",33m,"Jump Rope",2,0,87.0,0,0.0,
2025-07-16 08:27:17,"Senior Games 2025",33m,"Bench Press (Barbell)",1,115.0,28.0,0,0.0,
2025-07-16 08:27:17,"Senior Games 2025",33m,"Goblet Squat (Kettlebell)",1,53.0,40.0,0,0.0,
2025-07-16 08:27:17,"Senior Games 2025",33m,"D-Ball Slam",1,0,24.0,0,0.0,
2025-07-16 08:27:17,"Senior Games 2025",33m,"Standing Broad Jump",1,0.0,68.0,0,0.0,
2025-07-23 08:24:37,"Senior Games 2025",167h 32m,"Bench Press (Barbell)",1,105.0,30.0,0,0.0,
2025-07-23 08:24:37,"Senior Games 2025",167h 32m,"Rowing (Machine)",1,0,0.0,500.0,100.0,
2025-07-23 08:24:37,"Senior Games 2025",167h 32m,"Rowing (Machine)",2,0,0.0,500.0,100.0,
2025-07-23 08:24:37,"Senior Games 2025",167h 32m,"Standing Broad Jump",1,0.0,68.0,0,0.0,
2025-07-23 08:24:37,"Senior Games 2025",167h 32m,"Goblet Squat (Kettlebell)",1,53.0,40.0,0,0.0,
2025-07-23 08:24:37,"Senior Games 2025",167h 32m,"D-Ball Slam",1,0,24.0,0,0.0,
2025-07-23 08:24:37,"Senior Games 2025",167h 32m,"Jump Rope",1,0,84.0,0,0.0,
2025-07-30 07:57:20,"Senior Games 2025",39m,"Bench Press (Barbell)",1,105.0,30.0,0,0.0,
2025-07-30 07:57:20,"Senior Games 2025",39m,"Rowing (Machine)",1,0,0.0,500.0,100.0,
2025-07-30 07:57:20,"Senior Games 2025",39m,"Rowing (Machine)",2,0,0.0,500.0,100.0,
2025-07-30 07:57:20,"Senior Games 2025",39m,"Standing Broad Jump",1,0.0,63.0,0,0.0,
2025-07-30 07:57:20,"Senior Games 2025",39m,"Goblet Squat (Kettlebell)",1,53.0,40.0,0,0.0,
2025-07-30 07:57:20,"Senior Games 2025",39m,"D-Ball Slam",1,0,28.0,0,0.0,
2025-07-30 07:57:20,"Senior Games 2025",39m,"Jump Rope",1,0,84.0,0,0.0,
2025-08-06 08:52:32,"Senior Games 2025",9m,"Bench Press (Barbell)",1,105.0,30.0,0,0.0,
2025-08-06 08:52:32,"Senior Games 2025",9m,"Rowing (Machine)",1,0,0.0,500.0,100.0,
2025-08-06 08:52:32,"Senior Games 2025",9m,"Rowing (Machine)",2,0,0.0,500.0,100.0,
2025-08-06 08:52:32,"Senior Games 2025",9m,"Standing Broad Jump",1,0.0,72.0,0,0.0,
2025-08-06 08:52:32,"Senior Games 2025",9m,"Goblet Squat (Kettlebell)",1,53.0,40.0,0,0.0,
2025-08-06 08:52:32,"Senior Games 2025",9m,"D-Ball Slam",1,0,24.0,0,0.0,
2025-08-06 08:52:32,"Senior Games 2025",9m,"Jump Rope",1,0,98.0,0,0.0,
2025-08-13 08:46:08,"Senior Games 2025",15m,"Bench Press (Barbell)",1,115.0,25.0,0,0.0,
2025-08-13 08:46:08,"Senior Games 2025",15m,"Bench Press (Barbell)",2,115.0,18.0,0,0.0,
2025-08-13 08:46:08,"Senior Games 2025",15m,"Rowing (Machine)",1,0,0.0,500.0,100.0,
2025-08-13 08:46:08,"Senior Games 2025",15m,"Rowing (Machine)",2,0,0.0,500.0,100.0,
2025-08-13 08:46:08,"Senior Games 2025",15m,"Standing Broad Jump",1,0.0,68.0,0,0.0,
2025-08-13 08:46:08,"Senior Games 2025",15m,"Goblet Squat (Kettlebell)",1,53.0,40.0,0,0.0,
2025-08-13 08:46:08,"Senior Games 2025",15m,"D-Ball Slam",1,0,24.0,0,0.0,
2025-08-13 08:46:08,"Senior Games 2025",15m,"Jump Rope",1,0,84.0,0,0.0,
2025-08-13 08:46:08,"Senior Games 2025",15m,"Jump Rope",2,0,70.0,0,0.0,
2025-08-21 14:24:29,"Senior Games 2025",40m,"Bench Press (Barbell)",1,115.0,25.0,0,0.0,
2025-08-21 14:24:29,"Senior Games 2025",40m,"Bench Press (Barbell)",2,115.0,18.0,0,0.0,
2025-08-21 14:24:29,"Senior Games 2025",40m,"Rowing (Machine)",1,0,0.0,500.0,100.0,
2025-08-21 14:24:29,"Senior Games 2025",40m,"Rowing (Machine)",2,0,0.0,500.0,100.0,
2025-08-21 14:24:29,"Senior Games 2025",40m,"Standing Broad Jump",1,0.0,68.0,0,0.0,
2025-08-21 14:24:29,"Senior Games 2025",40m,"Goblet Squat (Kettlebell)",1,53.0,50.0,0,0.0,
2025-08-21 14:24:29,"Senior Games 2025",40m,"Goblet Squat (Kettlebell)",2,53.0,31.0,0,0.0,
2025-08-21 14:24:29,"Senior Games 2025",40m,"D-Ball Slam",1,0,24.0,0,0.0,
2025-08-21 14:24:29,"Senior Games 2025",40m,"Jump Rope",1,0,84.0,0,0.0,
2025-08-21 14:24:29,"Senior Games 2025",40m,"Jump Rope",2,0,70.0,0,0.0,
2025-08-22 08:45:44,"Senior Games 2025",49m,"Bench Press (Barbell)",1,115.0,25.0,0,0.0,
2025-08-22 08:45:44,"Senior Games 2025",49m,"Bench Press (Barbell)",2,115.0,18.0,0,0.0,
2025-08-22 08:45:44,"Senior Games 2025",49m,"Rowing (Machine)",1,0,0.0,500.0,100.0,
2025-08-22 08:45:44,"Senior Games 2025",49m,"Rowing (Machine)",2,0,0.0,500.0,100.0,
2025-08-22 08:45:44,"Senior Games 2025",49m,"Rowing (Machine)",3,0,0.0,500.0,100.0,
2025-08-22 08:45:44,"Senior Games 2025",49m,"Standing Broad Jump",1,0.0,72.0,0,0.0,
2025-08-22 08:45:44,"Senior Games 2025",49m,"Goblet Squat (Kettlebell)",1,53.0,40.0,0,0.0,
2025-08-22 08:45:44,"Senior Games 2025",49m,"D-Ball Slam",1,0,24.0,0,0.0,
2025-08-22 08:45:44,"Senior Games 2025",49m,"Jump Rope",1,0,84.0,0,0.0,
2025-08-22 08:45:44,"Senior Games 2025",49m,"Jump Rope",2,0,70.0,0,0.0,
2025-08-25 11:19:14,"Senior Games 2025",1h,"Bench Press (Barbell)",1,115.0,27.0,0,0.0,
2025-08-25 11:19:14,"Senior Games 2025",1h,"Bench Press (Barbell)",2,115.0,15.0,0,0.0,
2025-08-25 11:19:14,"Senior Games 2025",1h,"Bench Press (Barbell)",3,65.0,40.0,0,0.0,
2025-08-25 11:19:14,"Senior Games 2025",1h,"Rowing (Machine)",1,0,0.0,500.0,100.0,
2025-08-25 11:19:14,"Senior Games 2025",1h,"Rowing (Machine)",2,0,0.0,500.0,100.0,
2025-08-25 11:19:14,"Senior Games 2025",1h,"Standing Broad Jump",1,0.0,68.0,0,0.0,
2025-08-25 11:19:14,"Senior Games 2025",1h,"Goblet Squat (Kettlebell)",1,53.0,40.0,0,0.0,
2025-08-25 11:19:14,"Senior Games 2025",1h,"D-Ball Slam",1,0,24.0,0,0.0,
2025-08-25 11:19:14,"Senior Games 2025",1h,"Jump Rope",1,0,84.0,0,0.0,
2025-08-25 11:19:14,"Senior Games 2025",1h,"Jump Rope",2,0,70.0,0,0.0,
2025-09-02 09:42:21,"Senior Games 2025",17m,"Bench Press (Barbell)",1,115.0,27.0,0,0.0,
2025-09-02 09:42:21,"Senior Games 2025",17m,"Bench Press (Barbell)",2,115.0,15.0,0,0.0,
