Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2023-01-11 15:29:27,"YG Session A",28m,"Squat (Barbell)",1,10.0,9.0,0,0.0,
2023-01-11 15:29:27,"YG Session A",28m,"Squat (Barbell)",2,20.0,6.0,0,0.0,
2023-01-11 15:29:27,"YG Session A",28m,"Squat (Barbell)",3,30.0,3.0,0,0.0,
2023-01-11 15:29:27,"YG Session A",28m,"Squat (Barbell)",4,40.0,1.0,0,0.0,
2023-01-11 15:29:27,"YG Session A",28m,"Bench Press (Barbell)",1,20.0,9.0,0,0.0,
2023-01-11 15:29:27,"YG Session A",28m,"Bench Press (Barbell)",2,25.0,6.0,0,0.0,
2023-01-11 15:29:27,"YG Session A",28m,"Bench Press (Barbell)",3,35.0,3.0,0,0.0,
2023-01-11 15:29:27,"YG Session A",28m,"Bench Press (Barbell)",4,40.0,1.0,0,0.0,
2023-01-19 11:20:35,"Morning Workout",29m,"Chin Up",1,50.0,9.0,0,0.0,
2023-01-19 11:20:35,"Morning Workout",29m,"Chin Up",2,60.0,6.0,0,0.0,
2023-01-19 11:20:35,"Morning Workout",29m,"Chin Up",3,65.0,3.0,0,0.0,
2023-01-19 11:20:35,"Morning Workout",29m,"Chin Up",4,70.0,1.0,0,0.0,
2023-01-19 11:20:35,"Morning Workout",29m,"Deadlift (Barbell)",1,60.0,9.0,0,0.0,
2023-01-19 11:20:35,"Morning Workout",29m,"Deadlift (Barbell)",2,65.0,3.0,0,0.0,
2023-01-19 11:20:35,"Morning Workout",29m,"Deadlift (Barbell)",3,75.0,3.0,0,0.0,
2023-01-19 11:20:35,"Morning Workout",29m,"Deadlift (Barbell)",4,80.0,1.0,0,0.0,
2023-01-25 15:11:54,"Afternoon Workout",44m,"Strict Military Press (Barbell)",1,20.0,9.0,0,0.0,
2023-01-25 15:11:54,"Afternoon Workout",44m,"Strict Military Press (Barbell)",2,25.0,6.0,0,0.0,
2023-01-25 15:11:54,"Afternoon Workout",44m,"Strict Military Press (Barbell)",3,30.0,3.0,0,0.0,
2023-01-25 15:11:54,"Afternoon Workout",44m,"Strict Military Press (Barbell)",4,35.0,1.0,0,0.0,
2023-01-25 15:11:54,"Afternoon Workout",44m,"Hip Thrust (Barbell)",1,45.0,15.0,0,0.0,
2023-01-25 15:11:54,"Afternoon Workout",44m,"Hip Thrust (Barbell)",2,65.0,10.0,0,0.0,
2023-01-25 15:11:54,"Afternoon Workout",44m,"Hip Thrust (Barbell)",3,85.0,5.0,0,0.0,
2023-01-25 15:11:54,"Afternoon Workout",44m,"Hip Thrust (Barbell)",4,35.0,20.0,0,0.0,
2023-01-27 10:50:54,"Morning Workout",33m,"Squat (Barbell)",1,10.0,10.0,0,0.0,
2023-01-27 10:50:54,"Morning Workout",33m,"Squat (Barbell)",2,20.0,7.0,0,0.0,
2023-01-27 10:50:54,"Morning Workout",33m,"Squat (Barbell)",3,30.0,4.0,0,0.0,
2023-01-27 10:50:54,"Morning Workout",33m,"Squat (Barbell)",4,40.0,3.0,0,0.0,
2023-01-27 10:50:54,"Morning Workout",33m,"Bench Press (Barbell)",1,20.0,11.0,0,0.0,
2023-01-27 10:50:54,"Morning Workout",33m,"Bench Press (Barbell)",2,25.0,9.0,0,0.0,
