Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-05-31 07:24:59,"Comp Training",34m,"Rowing (Machine)",1,0,0.0,804.67,118.0,"","",
2024-05-31 07:24:59,"Comp Training",34m,"Bench Press (Barbell)",1,95.0,12.0,0,0.0,"",,
2024-05-31 07:24:59,"Comp Training",34m,"Broad Jump",1,0,49.0,0,0.0,"",,
2024-05-31 07:24:59,"Comp Training",34m,"Broad Jump",2,0,57.0,0,0.0,,,
2024-05-31 07:24:59,"Comp Training",34m,"Broad Jump",3,0,59.0,0,0.0,,,
2024-05-31 07:24:59,"Comp Training",34m,"Squat (Barbell)",1,44.0,29.0,0,0.0,"",,
2024-05-31 07:24:59,"Comp Training",34m,"Jump Rope",1,0,90.0,0,0.0,"",,
2024-05-31 07:24:59,"Comp Training",34m,"Ball Slams",1,20.0,27.0,0,0.0,"",,
2024-06-07 08:49:07,"Comp Training",39m,"Rowing (Machine)",1,0,0.0,804.67,117.0,"","",
2024-06-07 08:49:07,"Comp Training",39m,"Bench Press (Barbell)",1,95.0,7.0,0,0.0,"",,
2024-06-07 08:49:07,"Comp Training",39m,"Broad Jump",1,0,59.0,0,0.0,"",,
2024-06-07 08:49:07,"Comp Training",39m,"Broad Jump",2,0,61.0,0,0.0,,,
2024-06-07 08:49:07,"Comp Training",39m,"Squat (Barbell)",1,44.0,39.0,0,0.0,"",,
2024-06-07 08:49:07,"Comp Training",39m,"Jump Rope",1,0,51.0,0,0.0,"",,
2024-06-07 08:49:07,"Comp Training",39m,"Ball Slams",1,20.0,34.0,0,0.0,"",,
2024-06-12 13:47:46,"Comp Training",40m,"Rowing (Machine)",1,0,0.0,804.67,116.0,"","",
2024-06-12 13:47:46,"Comp Training",40m,"Bench Press (Barbell)",1,95.0,10.0,0,0.0,"",,
2024-06-12 13:47:46,"Comp Training",40m,"Broad Jump",1,0,64.0,0,0.0,"",,
2024-06-12 13:47:46,"Comp Training",40m,"Squat (Barbell)",1,44.0,40.0,0,0.0,"",,
2024-06-12 13:47:46,"Comp Training",40m,"Ball Slams",1,20.0,31.0,0,0.0,"",,
2024-06-12 13:47:46,"Comp Training",40m,"Ball Toss",1,8.0,151.0,0,0.0,"",,
2024-06-27 13:54:49,"Comp Training",33m,"Rowing (Machine)",1,0,0.0,804.67,114.0,"","",
2024-06-27 13:54:49,"Comp Training",33m,"Bench Press (Barbell)",1,95.0,12.0,0,0.0,"",,
2024-06-27 13:54:49,"Comp Training",33m,"Broad Jump",1,0,66.0,0,0.0,"",,
2024-06-27 13:54:49,"Comp Training",33m,"Squat (Barbell)",1,44.0,40.0,0,0.0,"",,
2024-06-27 13:54:49,"Comp Training",33m,"Ball Slams",1,20.0,33.0,0,0.0,"",,
2024-06-27 13:54:49,"Comp Training",33m,"Ball Toss",1,8.0,183.0,0,0.0,"",,
2024-06-27 13:54:49,"Comp Training",33m,"Jump Rope",1,0,100.0,0,0.0,"",,
2024-07-12 07:44:45,"Comp Training",102h 25m,"Rowing (Machine)",1,0,0.0,804.67,111.0,"","",
2024-07-12 07:44:45,"Comp Training",102h 25m,"Squat (Barbell)",1,44.0,43.0,0,0.0,"",,
2024-07-12 07:44:45,"Comp Training",102h 25m,"Bench Press (Barbell)",1,95.0,13.0,0,0.0,"",,
2024-07-12 07:44:45,"Comp Training",102h 25m,"Broad Jump",1,0,63.0,0,0.0,"",,
2024-07-12 07:44:45,"Comp Training",102h 25m,"Ball Slams",1,20.0,37.0,0,0.0,"",,
2024-07-12 07:44:45,"Comp Training",102h 25m,"Ball Toss",1,8.0,180.0,0,0.0,"",,
2024-07-12 07:44:45,"Comp Training",102h 25m,"Jump Rope",1,0,142.0,0,0.0,"",,
2024-08-14 14:09:13,"Comp Training",42m,"Rowing (Machine)",1,0,0.0,804.67,109.0,"","",
