Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-01-03 09:37:27,"YG Session A",48m,"Squat (Barbell)",1,155.0,9.0,0,0.0,"","",
2023-01-03 09:37:27,"YG Session A",48m,"Squat (Barbell)",2,170.0,6.0,0,0.0,,,
2023-01-03 09:37:27,"YG Session A",48m,"Squat (Barbell)",3,180.0,3.0,0,0.0,,,
2023-01-03 09:37:27,"YG Session A",48m,"Squat (Barbell)",4,190.0,1.0,0,0.0,,,
2023-01-03 09:37:27,"YG Session A",48m,"Bench Press (Barbell)",1,60.0,9.0,0,0.0,"",,
2023-01-03 09:37:27,"YG Session A",48m,"Bench Press (Barbell)",2,70.0,6.0,0,0.0,,,
2023-01-03 09:37:27,"YG Session A",48m,"Bench Press (Barbell)",3,75.0,3.0,0,0.0,,,
2023-01-03 09:37:27,"YG Session A",48m,"Bench Press (Barbell)",4,85.0,1.0,0,0.0,,,
2023-05-04 10:19:02,"Comp training ",13s,"Rowing (Machine)",1,0,0.0,0,145.0,"","",
2023-05-09 09:36:34,"Comp training ",44m,"Goblet Squat (Kettlebell)",1,35.0,55.0,0,0.0,"","",
2023-05-09 09:36:34,"Comp training ",44m,"Goblet Squat (Kettlebell)",2,44.0,23.0,0,0.0,,,
2023-05-09 09:36:34,"Comp training ",44m,"Bench Press (Barbell)",1,50.0,35.0,0,0.0,"",,
2023-05-09 09:36:34,"Comp training ",44m,"Bench Press (Barbell)",2,60.0,10.0,0,0.0,,,
2023-05-09 09:36:34,"Comp training ",44m,"Bench Press (Barbell)",3,70.0,7.0,0,0.0,,,
2023-05-09 09:36:34,"Comp training ",44m,"Rowing (Machine)",1,0,0.0,500.0,135.0,"",,
2023-05-09 09:36:34,"Comp training ",44m,"Dead Hang",1,138.0,63.0,0,0.0,"",,
2023-05-09 09:36:34,"Comp training ",44m,"Ball Slams",1,10.0,28.0,0,0.0,"",,
2023-05-16 09:48:38,"Comp training ",1h 5m,"Goblet Squat (Kettlebell)",1,35.0,57.0,0,0.0,"","",
2023-05-16 09:48:38,"Comp training ",1h 5m,"Bench Press (Barbell)",1,50.0,41.0,0,0.0,"",,
2023-05-16 09:48:38,"Comp training ",1h 5m,"Bench Press (Barbell)",2,60.0,11.0,0,0.0,,,
2023-05-16 09:48:38,"Comp training ",1h 5m,"Rowing (Machine)",1,0,0.0,500.0,140.0,"",,
2023-05-16 09:48:38,"Comp training ",1h 5m,"Dead Hang",1,138.0,74.0,0,0.0,"",,
2023-05-23 10:36:13,"Morning Workout",49m,"Bench Press (Barbell)",1,50.0,45.0,0,0.0,"","",
2023-05-23 10:36:13,"Morning Workout",49m,"Bench Press (Barbell)",2,60.0,15.0,0,0.0,,,
2023-05-23 10:36:13,"Morning Workout",49m,"Goblet Squat (Kettlebell)",1,35.0,60.0,0,0.0,"",,
2023-05-23 10:36:13,"Morning Workout",49m,"Rowing (Machine)",1,0,0.0,500.0,148.0,"",,
2023-05-23 10:36:13,"Morning Workout",49m,"Dead Hang",1,138.0,60.0,0,0.0,"",,
2023-06-06 08:56:54,"Morning Workout",1h 36m,"Goblet Squat (Kettlebell)",1,35.0,61.0,0,0.0,"","",
2023-06-06 08:56:54,"Morning Workout",1h 36m,"Goblet Squat (Kettlebell)",2,44.0,23.0,0,0.0,,,
2023-06-06 08:56:54,"Morning Workout",1h 36m,"Bench Press (Barbell)",1,50.0,45.0,0,0.0,"",,
2023-06-06 08:56:54,"Morning Workout",1h 36m,"Bench Press (Barbell)",2,60.0,17.0,0,0.0,,,
2023-06-06 08:56:54,"Morning Workout",1h 36m,"Dead Hang",1,138.0,71.0,0,0.0,"",,
2023-06-06 08:56:54,"Morning Workout",1h 36m,"Rowing (Machine)",1,0,0.0,500.0,135.0,"",,
2023-06-13 09:17:38,"Morning Workout",1h 8m,"Goblet Squat (Kettlebell)",1,35.0,65.0,0,0.0,"","",
2023-06-13 09:17:38,"Morning Workout",1h 8m,"Goblet Squat (Kettlebell)",2,44.0,25.0,0,0.0,,,
2023-06-13 09:17:38,"Morning Workout",1h 8m,"Bench Press (Barbell)",1,50.0,45.0,0,0.0,"",,
2023-06-13 09:17:38,"Morning Workout",1h 8m,"Bench Press (Barbell)",2,60.0,17.0,0,0.0,,,
2023-06-13 09:17:38,"Morning Workout",1h 8m,"Dead Hang",1,138.0,80.0,0,0.0,"",,
2023-06-13 09:17:38,"Morning Workout",1h 8m,"Ball Slams",1,10.0,28.0,0,0.0,"",,
2023-06-13 09:17:38,"Morning Workout",1h 8m,"Rowing (Machine)",1,0,0.0,500.0,135.0,"",,
2023-06-13 09:17:38,"Morning Workout",1h 8m,"Rowing (Machine)",2,0,0.0,500.0,150.0,,,
2023-06-20 07:17:09,"Early Morning Workout",1h 55m,"Goblet Squat (Kettlebell)",1,35.0,70.0,0,0.0,"","",
2023-06-20 07:17:09,"Early Morning Workout",1h 55m,"Goblet Squat (Kettlebell)",2,44.0,26.0,0,0.0,,,
2023-06-20 07:17:09,"Early Morning Workout",1h 55m,"Bench Press (Barbell)",1,50.0,46.0,0,0.0,"",,
2023-06-20 07:17:09,"Early Morning Workout",1h 55m,"Bench Press (Barbell)",2,60.0,18.0,0,0.0,,,
2023-06-20 07:17:09,"Early Morning Workout",1h 55m,"Dead Hang",1,138.0,80.0,0,0.0,"",,
